Company,City,Robot_Type,Department,Tasks_Assigned,Tasks_Completed,Completion_Rate,Date,Robot_Status
King Fahd Medical City,Abha,Sorting Robot,Administration,192,184,95.8,2024-01-08,Active
Saudi Post,Madinah,Task Organizer,Logistics,275,247,89.8,2024-03-17,Active
Dar Al Riyadh,Madinah,Medical Assistant,Administration,122,112,91.8,2024-04-08,Active
Saudi Electricity Company,Dhahran,Delivery Robot,IT,206,175,85.0,2024-03-08,Active
King Saud University,Dammam,Delivery Robot,Administration,51,43,84.3,2024-05-05,Active
Alhokair Group,Dhahran,Delivery Robot,Production,84,82,97.6,2024-04-09,Active
King Saud University,Jubail,Cleaning Robot,Production,98,90,91.8,2024-04-15,Active
SABIC,Riyadh,Medical Assistant,Facility Management,260,233,89.6,2024-04-12,Active
National Water Company,Tabuk,Inspection Robot,Customer Service,149,146,98.0,2024-02-27,Active
Tasnee,Abha,Delivery Robot,Healthcare,148,131,88.5,2024-03-23,Active
Dar Al Riyadh,Dhahran,Cleaning Robot,IT,48,39,81.2,2024-04-28,Active
National Water Company,Jubail,Medical Assistant,Facility Management,120,96,80.0,2024-02-02,Inactive
STC,Mecca,Sorting Robot,Customer Service,38,33,86.8,2024-04-26,Active
Binladin Group,Dammam,Service Robot,Healthcare,58,57,98.3,2024-02-04,Active
Saudi Post,Jubail,Cleaning Robot,Customer Service,196,160,81.6,2024-02-13,Active
Alhokair Group,Jubail,Task Organizer,Logistics,251,224,89.2,2024-02-18,Active
STC,Tabuk,Sorting Robot,Security,179,164,91.6,2024-03-07,Under Repair
STC,Dhahran,Task Organizer,Administration,149,123,82.6,2024-04-25,Active
SABIC,Jubail,Cleaning Robot,IT,263,251,95.4,2024-01-11,Active
Dar Al Riyadh,Abha,Sorting Robot,Healthcare,205,181,88.3,2024-03-26,Active
Saudi Post,Riyadh,Medical Assistant,Administration,147,135,91.8,2024-04-07,Under Repair
Saudi Post,Jubail,Medical Assistant,IT,195,176,90.3,2024-02-08,Active
Almarai,Dhahran,Medical Assistant,Logistics,115,104,90.4,2024-01-25,Active
Almarai,Jubail,Inspection Robot,Facility Management,238,233,97.9,2024-05-15,Active
King Fahd Medical City,Al Kharj,Medical Assistant,Administration,282,263,93.3,2024-01-12,Active
King Fahd Medical City,Dammam,Medical Assistant,Production,86,69,80.2,2024-02-03,Active
Alhokair Group,Tabuk,Sorting Robot,IT,78,76,97.4,2024-02-06,Needs Maintenance
National Water Company,Abha,Task Organizer,Facility Management,288,277,96.2,2024-04-29,Active
Almarai,Dammam,Medical Assistant,Administration,282,268,95.0,2024-03-08,Active
Riyadh Airports,Jubail,Delivery Robot,Facility Management,150,136,90.7,2024-01-22,Active
Al Rajhi Bank,Jeddah,Inspection Robot,Administration,97,93,95.9,2024-01-10,Needs Maintenance
Tasnee,Madinah,Inspection Robot,Healthcare,171,149,87.1,2024-02-18,Active
Saudi Red Crescent,Abha,Service Robot,Customer Service,108,89,82.4,2024-04-20,Needs Maintenance
Saudi Electricity Company,Riyadh,Cleaning Robot,Healthcare,210,208,99.0,2024-01-25,Inactive
Saudi German Hospital,Abha,Inspection Robot,Customer Service,43,41,95.3,2024-02-25,Active
Saudi Red Crescent,Madinah,Medical Assistant,Production,69,64,92.8,2024-05-10,Needs Maintenance
King Fahd Medical City,Tabuk,Cleaning Robot,Customer Service,33,33,100.0,2024-01-18,Inactive
Saudi Red Crescent,Riyadh,Cleaning Robot,IT,108,96,88.9,2024-04-29,Active
Alhokair Group,Abha,Sorting Robot,Customer Service,118,106,89.8,2024-04-24,Active
Alhokair Group,Riyadh,Medical Assistant,Healthcare,286,241,84.3,2024-02-05,Active
King Fahd Medical City,Dhahran,Service Robot,Production,281,279,99.3,2024-05-15,Under Repair
Alhokair Group,Abha,Medical Assistant,Customer Service,300,242,80.7,2024-04-01,Inactive
Al Rajhi Bank,Al Kharj,Task Organizer,Production,190,190,100.0,2024-01-09,Active
Saudi German Hospital,Dhahran,Delivery Robot,Administration,41,37,90.2,2024-05-17,Active
Riyadh Airports,Abha,Task Organizer,IT,190,173,91.1,2024-03-10,Active
Al Rajhi Bank,Mecca,Task Organizer,IT,116,95,81.9,2024-01-01,Inactive
Dar Al Riyadh,Riyadh,Delivery Robot,Customer Service,267,256,95.9,2024-04-02,Active
Saudi Red Crescent,Jubail,Task Organizer,Administration,190,164,86.3,2024-05-17,Active
King Saud University,Jeddah,Delivery Robot,Security,50,48,96.0,2024-02-14,Active
Alinma Bank,Riyadh,Medical Assistant,IT,275,245,89.1,2024-02-20,Active
Al Rajhi Bank,Madinah,Service Robot,Facility Management,167,158,94.6,2024-03-10,Active
Al Rajhi Bank,Jeddah,Service Robot,Production,68,57,83.8,2024-03-08,Needs Maintenance
Alinma Bank,Dammam,Sorting Robot,Security,217,185,85.3,2024-03-06,Needs Maintenance
Alhokair Group,Jeddah,Inspection Robot,Healthcare,197,172,87.3,2024-03-29,Active
Binladin Group,Al Kharj,Medical Assistant,Security,84,73,86.9,2024-04-10,Active
SABIC,Dhahran,Medical Assistant,Production,293,237,80.9,2024-02-25,Active
Ma'aden,Dammam,Delivery Robot,Facility Management,153,137,89.5,2024-05-09,Inactive
National Water Company,Dammam,Medical Assistant,IT,112,102,91.1,2024-01-09,Needs Maintenance
Alhokair Group,Jeddah,Task Organizer,Healthcare,64,61,95.3,2024-04-01,Needs Maintenance
Saudi Aramco,Abha,Delivery Robot,IT,78,74,94.9,2024-02-05,Under Repair
King Fahd Medical City,Madinah,Service Robot,Customer Service,77,63,81.8,2024-03-17,Active
STC,Tabuk,Task Organizer,Logistics,79,73,92.4,2024-05-12,Active
Binladin Group,Al Kharj,Task Organizer,Facility Management,140,137,97.9,2024-01-26,Active
Saudi Aramco,Jubail,Task Organizer,IT,78,76,97.4,2024-02-15,Active
Saudi Aramco,Mecca,Service Robot,IT,266,264,99.2,2024-03-03,Active
Ma'aden,Mecca,Sorting Robot,Healthcare,277,248,89.5,2024-05-04,Active
Saudi German Hospital,Al Kharj,Medical Assistant,Administration,69,67,97.1,2024-04-16,Active
STC,Al Kharj,Inspection Robot,Customer Service,57,52,91.2,2024-04-18,Active
Mobily,Dhahran,Medical Assistant,Security,72,68,94.4,2024-04-02,Active
King Saud University,Dhahran,Sorting Robot,IT,175,163,93.1,2024-05-14,Active
Saudi Post,Mecca,Service Robot,IT,250,238,95.2,2024-03-12,Active
Saudi Electricity Company,Abha,Cleaning Robot,Customer Service,188,157,83.5,2024-03-09,Active
Tasnee,Al Kharj,Task Organizer,IT,257,246,95.7,2024-02-05,Active
Ma'aden,Jeddah,Sorting Robot,Logistics,86,84,97.7,2024-02-10,Inactive
Saudi Red Crescent,Riyadh,Medical Assistant,IT,279,257,92.1,2024-02-08,Active
Alinma Bank,Al Kharj,Cleaning Robot,Facility Management,102,86,84.3,2024-02-26,Active
National Water Company,Dhahran,Sorting Robot,Production,263,219,83.3,2024-02-22,Active
Saudi Red Crescent,Riyadh,Task Organizer,Production,160,153,95.6,2024-02-13,Active
Saudi Aramco,Dhahran,Task Organizer,IT,274,261,95.3,2024-01-09,Active
Riyadh Airports,Riyadh,Delivery Robot,Security,209,175,83.7,2024-03-04,Active
Al Rajhi Bank,Tabuk,Medical Assistant,Logistics,237,217,91.6,2024-05-12,Active
Almarai,Jeddah,Sorting Robot,Customer Service,280,225,80.4,2024-05-10,Active
Riyadh Airports,Jubail,Cleaning Robot,Facility Management,274,274,100.0,2024-01-29,Inactive
Al Rajhi Bank,Tabuk,Cleaning Robot,Facility Management,148,138,93.2,2024-03-28,Active
Saudi Electricity Company,Dhahran,Medical Assistant,Customer Service,91,91,100.0,2024-01-20,Active
Dar Al Riyadh,Dammam,Service Robot,Logistics,267,260,97.4,2024-01-19,Active
